EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
adder,Vipera berus,rVipBer3,rVipBer3.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
European pond turtle,Emys orbicularis,rEmyOrb1,rEmyOrb1.hap1,0,93,[('JAQMCV010000021.1', 11492094, 12117841)],1,0.0022047570566639,IGK
diamondback terrapin,Malaclemys terrapin,rMalTer1,rMalTer1.hap1,0,104,[('NC_071509.1', 13022498, 13681712)],1,0.00455997636444,IGK
Hawksbill sea turtle,Eretmochelys imbricata,rEreImb1,rEreImb1.hap1,0,55,[('OZ223885.1', 132551937, 132978367)],1,0.0029151360573085,IGK
loggerhead sea turtle,Caretta caretta,rCarCar2,rCarCar2.hap1,0,65,[('NC_134209.1', 140640530, 141148715)],1,0.0032860816155241,IGK
Kemp's ridley sea turtle,Lepidochelys kempii,rLepKem1,rLepKem1.hap1,0,52,[('OZ223562.1', 129033025, 129462508)],1,0.0030049835864728,IGK
Pacific ridley,Lepidochelys olivacea,rLepOli2,rLepOli2.hap1,0,53,[('OZ223115.1', 136290892, 136736500)],1,0.0029675209333001,IGK
Australian flatback sea turtle,Natator depressus,rNatDep1,rNatDep1.hap1,0,61,[('NC_134237.1', 128089325, 128519144)],1,0.0030346229739059,IGK
green sea turtle,Chelonia mydas,rCheMyd1,rCheMyd1.pri,0,64,[('NC_057852.1', 128553722, 129223475)],1,0.0047058280113741,IGK
Suwannee snapping turtle,Macrochelys suwanniensis,rMacSuw1,rMacSuw1.hap2,0,90,[('CM065779.1', 126500548, 127042455)],1,0.0038796255722141,IGK
Chinese softshell turtle,Pelodiscus sinensis,rPelSin1,,0,71,[('JBPQGR010000254.1', 123873579, 124344714)],1,0.0036475229987071,IGK
Western terrestrial garter snake,Thamnophis elegans,rThaEle1,rThaEle1.pri,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
royal ground snake,Erythrolamprus reginae,rEryReg1,rEryReg1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
barred grass snake,Natrix helvetica,rNatHel1,rNatHel1.hap1,3,0,[('NA', 'NA', 'NA')],1,NA,IGK
African side-necked turtle,Pelomedusa somalica,rPelSom1,rPelSom1.pri,0,62,[('CM119679.1', 314855425, 315251427)],1,0.0012108354388742,IGK
Bellinger river turtle,Myuchelys georgesi,rMyuGeo1,rMyuGeo1.pri,0,62,[('CM105058.1', 136644226, 137063483)],1,0.0028174465500671,IGK
Argentine snake-necked turtle,Hydromedusa tectifera,rHydTec1,rHydTec1.pri,0,82,[('CM113719.1', 11884926, 12407395)],1,0.0041041458197073,IGK
