EnglishName,LatinName,AssemblyID,AssemblyID_main,AnnotationLevel,NumGenes,ContigInfo,NumContigs,LocusFraction,Locus
Cory's shearwater,Calonectris borealis,bCalBor7,bCalBor7.hap1,0,18,[('OZ077848.1', 28178, 540984)],1,0.812208967138232,IGH
Abyssinian ground hornbill,Bucorvus abyssinicus,bBucAby1,bBucAby1.pri,0,19,[('WNMG01000078.1', 127309, 196108)],1,0.217679089531319,IGH
Maguari stork,Ciconia maguari,bCicMag1,bCicMag1.pri,0,56,[('JAGFVO010004217.1', 2594, 70631)],1,0.732778304325349,IGH
lesser rhea,Rhea pennata,bPtePen1,bPtePen1.pri,0,13,[('JAQOLW010000128.1', 10533, 60887)],1,0.445902626498769,IGH
North Island brown kiwi,Apteryx mantelli,bAptMan1,bAptMan1.hap1,0,26,[('CM071247.1', 422726, 450788)],1,0.0433423430380724,IGH
great potoo,Nyctibius grandis,bNycGra1,bNycGra1.pri,0,15,[('JABXNV010000174.1', 25830, 96789)],1,0.438186219417308,IGH
rifleman,Acanthisitta chloris,bAcaChl1,bAcaChl1.pri,0,83,[('CM029183.1', 78988967, 79088783)],1,0.0007308592825989,IGH
yellow-throated sandgrouse,Pterocles gutturalis,bPteGut1,bPteGut1.pri,0,6,[('CM020141.1', 132498285, 132876122)],1,0.0028425642498424,IGH
red-throated Loon,Gavia stellata,bGavSte3,bGavSte3.hap2,0,20,[('JAVGJA010000599.1', 26772, 53307)],1,0.44782542656068,IGH
Northern gannet,Morus bassanus,bMorBas2,bMorBas2.hap2,0,37,[('JAVHSO010000220.1', 19988, 84090)],1,0.316409335018165,IGH
common swift,Apus apus,bApuApu2,bApuApu2.pri,0,8,[('JAJGQZ010001640.1', 484, 27545)],1,0.827072954552401,IGH
red-crested turaco,Tauraco erythrolophus,bTauEry1,bTauEry1.pri,0,13,[('WOXX01003394.1', 1507, 34427)],1,0.703238485858327,IGH
common ostrich,Struthio camelus australis,bStrCam1,bStrCam1.hap1,0,15,[('CM081614.1', 58687, 533498)],1,0.0681862308363505,IGH
mountain owlet-nightjar,Aegotheles albertisi,bAegAlb1,bAegAlb1.hap1,0,10,[('JBDMAY010000363.1', 111528, 123779)],1,0.0738416842968133,IGH
king vulture,Sarcoramphus papa,bSarPap1,bSarPap1.hap1,0,21,[('CM075622.1', 17507, 110224)],1,0.25287190172805,IGH
great cormorant,Phalacrocorax carbo,bPhaCar2,bPhaCar2.pri,0,66,[('OY997631.1', 1066156, 1182281)],1,0.0746639079330522,IGH
European shag,Gulosus aristotelis,bGulAri2.1,bGulAri2.pri,0,19,[('OX451257.1', 25172, 93079)],1,0.294332834882864,IGH
herring gull,Larus argentatus,bLarArg3,bLarArg3.hap1,0,64,[('OZ207415.1', 17952, 1207179)],1,0.462203875786111,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yellow-legged gull,Larus michahellis,blarMic1,blarMic1.pri,0,84,[('CAXMZI010001386.1', 16615, 140696)],1,0.473214115457517,IGH
black-headed gull,Chroicocephalus ridibundus,bChrRid1,bChrRid1.pri,0,67,[('CAWUPG010002615.1', 7408, 98145)],1,0.448924159290722,IGH
European golden plover,Pluvialis apricaria,bPluApr1,bPluApr1.pri,0,41,[('CM030040.1', 14171, 55159)],1,0.244168036790812,IGH
common tern,Sterna hirundo,bSteHir1,bSteHir1.pri,0,51,[('WNMW01000084.1', 164850, 265034)],1,0.375960221409138,IGH
razorbill,Alca Torda,bAlcTor1,bAlcTor1.pri,0,31,[('VMED01000058.1', 89615, 125733)],1,0.268879161455542,IGH
black-legged kittiwake,Rissa tridactyla,bRisTri1,bRisTri1.pat,0,27,[('CM053014.1', 68946, 106175)],1,0.174196023750813,IGH
Northern Lapwing,Vanellus vanellus,bVanVan1,bVanVan1.hap1,0,7,[('CBDDMR010001993.1', 6670, 89644)],1,0.831877926270515,IGH
lesser black-backed gull,Larus fuscus,bLarFus1,bLarFus1.pri,0,50,[('CAWVQS010000284.1', 55436, 122983)],1,0.455549111117106,IGH
Eurasian curlew,Numenius arquata,bNumArq3,bNumArq3.hap1,0,76,[('OZ067280.1', 8168, 107110)],1,0.61939013778554,IGH
lanced-tailed manakin,Chiroxiphia lanceolata,bChiLan1,bChiLan1.pri,0,3,[('WNMC01000038.1', 366170, 489155)],1,0.209272765017578,IGH
white-crowned manakin,Dixiphia pipra,bDixPip1,bDixPip1.hap1,0,13,[('JAZAVG010000618.1', 18192, 34810)],1,0.394567514305387,IGH
Xingu scale-backed antbird,Willisornis vidua,bWilVid1,bWilVid1.hap1,0,1,[('CM098493.1', 3010490, 4299826)],1,0.0222964517293746,IGH
red-fronted tinkerbird,Pogoniulus pusillus,bPogPus1,bPogPus1.pri,0,14,[('JADCQK010000172.1', 2002, 20493)],1,0.884398316433901,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
downy woodpecker,Dryobates pubescens,bDryPub1,bDryPub1.pri,0,2,[('CM026026.1', 1481816, 2315132)],1,0.0844626220797455,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
king quail,Coturnix chinensis,bCotChi1,bCotChi1.hap2,0,8,[('JBDMBA010000142.1', 12862, 26170)],1,0.364842636253975,IGH
Western capercaillie,Tetrao urogallus,bTetUro1.1,bTetUro1.1.pri,0,3,[('CATOBR010000106.1', 14211, 18077)],1,0.199659143727728,IGH
white leghorn layer chicken,Gallus gallus,bGalGal1,bGalGal1.pat.layer,0,38,[('CM028557.1', 118403, 170755)],1,0.162650022214006,IGH
rock ptarmigan,Lagopus muta,bLagMut1,bLagMut1.pri,0,9,[('JAMCCT010000049.1', 16348, 62156)],1,0.454805401111994,IGH
house finch,Haemorhous mexicanus,bHaeMex1,bHaeMex1.pri,0,94,[('JAPYKC010000061.1', 5560, 97563)],1,0.642456618134842,IGH
village indigobird,Vidua chalybeata,bVidCha1,bVidCha1.merged,0,15,[('JAPVQZ010000098.1', 117390, 195012)],1,0.336008519037972,IGH
black-capped chickadee,Poecile atricapillus,bPoeAtr1,bPoeAtr1.hap1,0,89,[('CM059909.1', 172212, 336356)],1,0.0130978647745046,IGH
blue jay,Cyanocitta cristata,bCyaCrs1,bCyaCrs1.hap1,0,90,[('JBJCII010000137.1', 640, 79841)],1,0.519575685214585,IGH
song sparrow,Melospiza melodia,bMelMel2,bMelMel2.pri,2,66,[('JAYKKP010000318.1', 28143, 88263), ('JAYKKP010000244.1', 19248, 65898)],2,NA,IGH
paradise crow,Lycocorax pyrrhopterus,bLycPyr6,bLycPyr6.pri,0,18,[('JACSVZ010000385.1', 964, 13611)],1,0.614200378806275,IGH
barn swallow,Hirundo rustica,bHirRus1,bHirRus1.3.pri,0,1,[('JADDRQ030002026.1', 26536, 30213)],1,0.0299339775474816,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savannah sparrow,Passerculus sandwichensis,bPasSan2,bPasSan2.pri,0,63,[('CM063150.1', 11634890, 11781140)],1,0.012246045280977,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
common myna,Acridotheres tristis,bArcTri1,bArcTri1.pri,0,58,[('CM050562.1', 26588, 96040)],1,0.59353074392172,IGH
eastern black-eared wheatear,Oenanthe melanoleuca,bOenMel1,bOenMel1.pri,0,88,[('CM055938.1', 3394003, 8861751)],1,0.53415104803644,IGH
Bengalese finch,Lonchura striata domestica,bLonStr1,bLonStr1.mat,0,45,[('CM100650.1', 482650, 1251241)],1,0.600638625595195,IGH
Nelson's sparrow,Ammospiza nelsoni,bAmmNel1,bAmmNel1.pri,0,26,[('JAQCNU010001251.1', 198299, 299532)],1,0.23760770424198,IGH
Hawaiian crow,Corvus hawaiiensis,bCorHaw1,bCorHaw1.pri,0,45,[('CM036385.1', 112297, 224989)],1,0.333596795822491,IGH
silver-eye,Zosterops lateralis,bZosLat1,bZosLat1.hap1,2,250,[('CBDDMP010000014.1', 728, 366719), ('OZ246496.1', 7002937, 7479192), ('OZ246505.1', 4181951, 5262376), ('CBDDMP010000023.1', 216057, 247592), ('OZ246506.1', 164556, 195848), ('CBDDMP010000007.1', 35202, 333472)],6,NA,IGH
garden warbler,Sylvia borin,bSylBor1,bSylBor1.pri,0,76,[('JACEWE010000172.1', 6827, 114133)],1,0.498575908932513,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swamp sparrow,Melospiza georgiana,bMelGeo1,bMelGeo1.pri,0,84,[('JAQMCR010000544.1', 35893, 112106)],1,0.378999452981252,IGH
common yellowthroat,Geothlypis trichas,bGeoTri1,bGeoTri1.pri,0,29,[('WSPJ01000195.1', 1092, 25741)],1,0.945637995856672,IGH
seaside sparrow,Ammospiza maritima,bAmmMai1,bAmmMai1.pri,0,67,[('JAYKTQ010000359.1', 28139, 89386)],1,0.227967915433718,IGH
house sparrow,Passer domesticus,bPasDom1,bPasDom1.hap1,0,308,[('CM071462.1', 332533, 670706)],1,0.45292947691978,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
European blackcap,Sylvia atricapilla,bSylAtr1,bSylAtr1.pri,0,85,[('WNMY01000176.1', 1077, 91633)],1,0.974160373502012,IGH
white-throated dipper,Cinclus cinclus,bCinCin1,bCinCin1.pri,0,24,[('OY759713.1', 332667, 1051231)],1,0.550632615544005,IGH
zebra finch,Taeniopygia guttata,bTaeGut1,bTaeGut7.mat,0,8,[('CM109786.1', 188738, 2230335)],1,0.406916595727887,IGH
red-winged blackbird,Agelaius phoeniceus,bAgePho2,bAgePho2.pri,0,74,[('JAIWQD010000385.1', 35018, 97415)],1,0.57760559860035,IGH
Western jackdaw,Coloeus monedula,bColMon1,bColMon1.hap1,0,40,[('OZ238496.1', 176920, 303681)],1,0.0342254765028405,IGH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
saltmarsh sparrow,Ammodramus caudacutus,bAmmCau1,bAmmCau1.pri,0,33,[('JAQIHC010002198.1', 171236, 193812)],1,0.0998650830513348,IGH
white-throated sparrow,Zonotrichia albicollis,bZonAlb1,bZonAlb1.hap1,0,280,[('CM106230.1', 39835, 991223)],1,0.836026390436455,IGH
Swainson's thrush,Catharus ustulatus,bCatUst1,bCatUst1.2.pri,0,16,[('WNMR02002398.1', 76701, 99257)],1,0.226529546458844,IGH
European robin,Erithacus rubecula,bEriRub2,bEriRub2.2.pri,0,170,[('CAIGJR020000325.1', 777, 179347)],1,0.973536723656664,IGH
common chaffinch,Fringilla coelebs,bFriCoe1,bFriCoe1.pri,0,21,[('CAUPSH010002016.1', 9814, 39926)],1,0.722214227466782,IGH
New Caledonian crow,Corvus moneduloides,bCorMon1,bCorMon1.pri,0,14,[('WHPO01000046.1', 182447, 200424)],1,0.0863038228700089,IGH
