V1,SpeciesID,TableIdx,VertClass,TreeID,IGH_AnnotationLevel,IGH_TotalLength,IGH_TotalGenes,IGH_MinDir,IGH_NumContigs,IGH_LocusFraction,IGK_AnnotationLevel,IGK_TotalLength,IGK_TotalGenes,IGK_MinDir,IGK_NumContigs,IGK_LocusFraction,IGL_AnnotationLevel,IGL_TotalLength,IGL_TotalGenes,IGL_MinDir,IGL_NumContigs,IGL_LocusFraction,IGI_AnnotationLevel,IGI_TotalLength,IGI_TotalGenes,IGI_MinDir,IGI_NumContigs,IGI_LocusFraction,LatinName,Assembly ID,Assembly ID main haplotype
27,Atlantic_halibut,566,fish,GCF_009819705.1,0,157934,43,0.6744186046511628,1,0.0067135921824534,3,0,0,0,0,0,3,0,0,0,0,0,0,55533,13,1,1,0.905212883875595,hippoglossus_hippoglossus,fHipHip1,fHipHip1.pri
28,European_plaice,567,fish,GCF_947347685.1,0,1507150,58,1,1,0.0594993895109532,3,0,0,0,0,0,3,0,0,0,0,0,0,316906,38,0.5789473684210527,1,0.0117537371280655,pleuronectes_platessa,fPlePla1,fPlePla1.pri
29,Lemon_sole,571,fish,GCA_964266715.1,0,217487,89,1,1,0.3559799198956385,3,0,0,0,0,0,3,0,0,0,0,0,0,231069,44,0.6363636363636364,1,0.1780512218294964,microstomus_kitt,fMicKit1,fMicKit.pri
30,Turbot,574,fish,GCA_963854745.1,0,39741,21,1,1,0.0018492480138882,3,0,0,0,0,0,3,0,0,0,0,0,0,78417,22,1,1,0.0049645098669451,scophthalmus_maximus,fScoMax1,fScoMax1.pri
31,Common_dab,569,fish,GCF_963576545.1,0,2560089,62,0.9838709677419356,1,0.103118389047073,3,0,0,0,0,0,3,0,0,0,0,0,0,366931,40,0.55,1,0.0128151276279237,limanda_limanda,fLimLim1,fLimLim1.pri
32,European_flounder,568,fish,GCF_949316205.1,0,101732,38,1,1,0.1653380400034454,3,0,0,0,0,0,3,0,0,0,0,0,0,149786,26,0.5384615384615384,1,0.2693566485879934,platichthys_flesus,fPlaFle2.1,fPlaFle2.1.pri
33,Common_sole,572,fish,GCF_958295425.1,0,176829,46,0.8478260869565217,1,0.0723619139206318,3,0,0,0,0,0,3,0,0,0,0,0,0,92395,32,1,1,0.0754521453169365,solea_solea,fSolSol10.1,fSolSol10.pri
34,Golden_arowana,474,fish,GCF_900964775.1,0,8665270,78,0.8076923076923077,1,0.2121199117501042,3,0,0,0,0,0,3,0,0,0,0,0,0,805937,33,0.5151515151515151,1,0.4489372001397053,scleropages_formosus,fSclFor1,fSclFor1.pri
35,Shanny,601,fish,GCA_963383615.1,0,61637,26,1,1,0.002322175048077,3,0,0,0,0,0,3,0,0,0,0,0,0,5444004,78,0.9615384615384616,1,0.1715180282674995,lipophrys_pholis,fLipPho2,fLipPho2.pri
36,Jewelled_blenny,599,fish,GCF_902148845.1,0,2466367,117,0.97435897435897445,1,0.0907758717272354,3,0,0,0,0,0,3,0,0,0,0,0,0,1720340,48,0.5416666666666666,1,0.0463586845099978,salarias_fasciatus,fSalaFa1,fSalaFa1.pri
37,Crested_weedfish,602,fish,GCA_049082185.1,0,982265,29,0.9655172413793104,1,0.0464339858022192,3,0,0,0,0,0,3,0,0,0,0,0,0,136862,31,1,1,0.0049741955112304,cristiceps_australis,fCriAus1,fCriAus1.hap1
38,Butterfly_blenny,600,fish,GCA_963422515.1,0,46272,24,1,1,0.1768584238226829,3,0,0,0,0,0,3,0,0,0,0,0,0,150958,20,1,1,0.0055729299683547,blennius_ocellaris,fBleOce1,fBleOce1.pri
39,Zig_zag_eel,562,fish,GCF_900324485.2,0,567108,98,1,1,0.0244420694706135,3,0,0,0,0,0,3,0,0,0,0,0,0,2736684,97,0.5876288659793815,1,0.1192881688520427,mastacembelus_armatus,fMasArm1,fMasArm1.3.pri
40,Northern_pike,512,fish,GCF_011004845.1,0,7751126,92,0.9891304347826086,1,0.1398916691903454,3,0,0,0,0,0,3,0,0,0,0,0,0,347024,13,0.8461538461538461,1,0.8060259629253701,esox_lucius,fEsoLuc1,fEsoLuc1.pri
41,Reedfish,462,fish,GCF_900747795.2,0,2274950,27,1,1,0.0064948721058382,3,0,0,0,0,0,3,0,0,0,0,0,0,1759347,27,0.8888888888888888,1,0.0069806242165049,erpetoichthys_calabaricus,fErpCal1.3,fErpCal1.3.pri
42,Bermuda_beardfish,542,fish,GCA_048537225.1,0,1259468,81,1,1,0.0293017525545462,3,0,0,0,0,0,3,0,0,0,0,0,2,976217,84,0.8125,3,NA,polymixia_cf._hollisterae,fPolHol1,fPolHol1.hap1
43,Beardfish,541,fish,GCA_047511565.1,0,1484222,85,0.9882352941176472,1,0.0383388137926767,3,0,0,0,0,0,3,0,0,0,0,0,2,1684039,92,0.6666666666666666,4,NA,polymixia_lowei,fPolLow2,fPolLow2.hap1
44,Blacktail_shiner,494,fish,GCA_038024135.1,0,47552,26,1,1,8.269165079519e-4,3,0,0,0,0,0,3,0,0,0,0,0,0,1387562,12,1,1,0.0588927169920334,cyprinella_venusta,fCypVen1,fCypVen1.hap1
45,Common_dace,490,fish,GCA_965113295.1,0,493511,47,1,1,0.005817950335687,3,0,0,0,0,0,3,0,0,0,0,0,2,5388609,238,0.7565217391304347,2,NA,leuciscus_leuciscus,fLeuLeu2,fLeuLeu2.hap1
46,Rhinogobio_nasutus,495,fish,GCA_048301585.1,0,128136,27,1,1,0.0029950722814564,3,0,0,0,0,0,3,0,0,0,0,0,2,1259086,42,0.5789473684210527,2,NA,rhinogobio_nasutus,fRhiNas1,fRhiNas1.pri
47,Eurasian_minnow,483,fish,GCA_949152265.1,0,1039651,44,0.9772727272727272,1,0.0186004685635379,3,0,0,0,0,0,3,0,0,0,0,0,2,311053,74,1,2,NA,phoxinus_phoxinus,fPhoPho1,fPhoPho.pri
48,European_chub,485,fish,GCA_949319135.1,0,409740,55,1,1,0.8412101403454022,3,0,0,0,0,0,3,0,0,0,0,0,0,93835,11,1,1,0.2942679913195098,squalius_cephalus,fSquCep2.1,fSquCep2.pri
49,Common_carp,492,fish,GCF_963082965.1,0,405580,48,0.9791666666666666,1,0.0075199588176661,3,0,0,0,0,0,3,0,0,0,0,0,0,23597,9,1,1,0.7289549287942911,carassius_carassius,fCarcar2,fCarCar2.pri
50,Common_bream,488,fish,GCA_963993115.1,0,1746324,65,1,1,0.0218463003849362,3,0,0,0,0,0,3,0,0,0,0,0,2,8005293,213,0.6888888888888889,2,NA,abramis_brama,fAbrBra2.1,fAbrBra2.1.pri
51,Stone_loach,487,fish,GCA_947034865.1,0,3158812,28,0.9642857142857144,1,0.1195477503229734,3,0,0,0,0,0,3,0,0,0,0,0,0,1664097,55,0.5454545454545454,1,0.0939558251559171,barbatula_barbatula,fBarBar1,fBarBar1.pri
52,Common_rudd,489,fish,GCA_964197995.1,0,316753,49,0.979591836734694,1,0.0039509336482308,3,0,0,0,0,0,3,0,0,0,0,0,2,5705299,191,0.8688524590163934,2,NA,scardinius_erythrophthalmus,fScaEry2,fScaEry2.hap1
53,Roach_minnow,484,fish,GCA_951802725.1,0,483200,70,1,1,0.67883283460474,3,0,0,0,0,0,3,0,0,0,0,0,2,4133895,166,0.8484848484848485,2,NA,rutilus_rutilus,fRutRut2,fRutRut2.pri
54,Barbel,486,fish,GCA_936440315.1,0,37907,8,1,1,0.9285014451574976,3,0,0,0,0,0,3,0,0,0,0,0,2,410663,37,0.8888888888888888,2,NA,barbus_barbus,fBarBab1,fBarBab1.pri
55,Zebrafish,482,fish,GCA_944039275.1,0,1055027,24,1,1,0.0159775242119551,3,0,0,0,0,0,3,0,0,0,0,0,0,71673,18,1,1,0.0015803511068167,danio_rerio,fDanRer4,fDanRer4.pri
56,Gudgeon,491,fish,GCA_949357685.1,0,538776,50,1,1,0.006169297672154,3,0,0,0,0,0,3,0,0,0,0,0,2,4986907,128,0.7666666666666667,2,NA,gobio_gobio,fGobGob1,fGobGob1.pri
57,Spangled_emperor,649,fish,GCA_045362495.1,0,1530134,187,1,1,0.0332135579328305,3,0,0,0,0,0,3,0,0,0,0,0,2,3242263,254,0.616504854368932,3,NA,lethrinus_nebulosus,fLetNeb1,fLetNeb1.hap1
58,Common_seabream,647,fish,GCA_965226575.1,0,724854,144,1,1,0.0228172932754725,3,0,0,0,0,0,3,0,0,0,0,0,2,2651449,174,0.5,3,NA,pagrus_pagrus,fPagPag1,fPagPag1.hap1
59,Black_porgy,648,fish,GCA_041753875.1,0,770545,148,1,1,0.0286792543561341,3,0,0,0,0,0,3,0,0,0,0,0,2,1483176,86,1,2,NA,acanthopagrus_schlegelii,fAcaSch1,fAcaSch1.pri
60,Gilthead_seabream,646,fish,GCF_900880675.1,0,1218240,163,0.9938650306748468,1,0.0399069689097182,3,0,0,0,0,0,3,0,0,0,0,0,0,775477,54,0.7962962962962963,1,0.0235790538209762,sparus_aurata,fSpaAur1,fSpaAur11.2.pri
61,Smalleye_pacific_opah,533,fish,GCF_029633865.1,0,4391434,31,0.7096774193548387,1,0.0621925069641696,3,0,0,0,0,0,3,0,0,0,0,0,0,3586008,157,0.8089171974522293,1,0.0596811158220162,lampris_incognitus,fLamInc1,fLamInc1.hap2
62,Black_goby,550,fish,GCA_951799975.1,0,903525,54,1,1,0.0246133931346356,3,0,0,0,0,0,3,0,0,0,0,0,0,461836,64,0.5625,1,0.0138604848960851,gobius_niger,fGobNig1,fGobNig1.pri
63,Korean_giant_fin_mudskipper,549,fish,GCF_009829125.3,0,150096,20,1,1,0.0050559246995443,3,0,0,0,0,0,3,0,0,0,0,0,0,163122,19,1,1,0.005621325265631,periophthalmus_magnuspinnatus,fPerMag1,fPerMag1.2.pri
64,Atlantic_horse_mackerel,577,fish,GCA_905171665.2,0,539963,145,1,1,0.1748965448439557,3,0,0,0,0,0,3,0,0,0,0,0,2,1552585,234,0.7792207792207793,5,NA,trachurus_trachurus,fTraTra1,fTraTra1.2.pri
65,Live_sharksucker,576,fish,GCF_900963305.1,0,135473,38,1,1,0.6606956487812492,3,0,0,0,0,0,3,0,0,0,0,0,0,24162,8,0.5,1,0.1225576724085459,echeneis_naucrates,fEcheNa1,fEcheNa1.pri
66,Electric_eel,496,fish,GCA_041902795.1,0,384193,50,1,1,0.0091604897207871,3,0,0,0,0,0,3,0,0,0,0,0,0,2530711,55,0.6727272727272727,1,0.0627802050931836,electrophorus_electricus,fEleEle2,fEleEle2.pri
67,Trahira,498,fish,GCF_029633855.1,0,1894380,158,0.9746835443037974,1,0.0455869867800191,3,0,0,0,0,0,3,0,0,0,0,0,2,4849845,204,0.7204968944099379,2,NA,hoplias_malabaricus,fHopMal1,fHopMal1.hap1
68,Red_bellied_piranha,497,fish,GCF_015220715.1,0,514885,124,0.9919354838709676,1,0.0122166414105338,3,0,0,0,0,0,3,0,0,0,0,0,0,5981,2,1,1,0.035570066667856,pygocentrus_nattereri,fPygNat1,fPygNat1.pri
69,Mexican_tetra,502,fish,GCF_023375975.1,0,2718420,223,0.9955156950672646,1,0.0610280698095446,3,0,0,0,0,0,3,0,0,0,0,0,2,1207117,97,1,4,NA,astyanax_mexicanus,fAstMex1,fAstMex1.pri
70,Golden_dorado,499,fish,GCF_030463535.1,0,2424479,144,0.9722222222222222,1,0.0631471614564618,3,0,0,0,0,0,3,0,0,0,0,0,2,511053,64,1,2,NA,salminus_brasiliensis,fSalBra1,fSalBra1.hap2
71,African_coelacanth,698,fish,GCF_037176945.1,0,2165324,80,0.9875,1,0.0125739014840367,3,0,0,0,0,0,3,0,0,0,0,0,0,818029,3,1,1,0.0018932864168598,latimeria_chalumnae,fLatCha2,fLatCha2.pri
72,Corkwing_wrasse,613,fish,GCA_947650265.1,0,253193,129,0.9689922480620154,1,0.850340044667596,3,0,0,0,0,0,3,0,0,0,0,0,2,435564,85,1,2,NA,symphodus_melops,fSymMel2,fSymMel2.pri
73,New_zealand_spotty_wrasse,609,fish,GCF_009762535.1,0,111366,76,1,1,0.5641812821058391,3,0,0,0,0,0,3,0,0,0,0,0,2,256828,65,0.52,2,NA,notolabrus_celidotus,fNotCel1,fNotCel1.pri
74,Ballan_wrasse,612,fish,GCF_963930695.1,0,2503563,160,1,1,0.0900760786406507,3,0,0,0,0,0,3,0,0,0,0,0,2,3229728,137,0.6491228070175439,4,NA,labrus_bergylta,fLabBer1,fLabBer1.pri
75,Blackspot_tuskfish,616,fish,GCA_047301625.1,0,1495013,65,0.9846153846153848,1,0.0463753511351302,3,0,0,0,0,0,3,0,0,0,0,0,0,270719,92,0.7391304347826086,1,0.0079935425449252,choerodon_schoenleinii,fChoSch1,fChoSch1.pri
76,Cuckoo_wrasse,611,fish,GCF_963584025.1,0,355282,86,1,1,0.0142400300510718,3,0,0,0,0,0,3,0,0,0,0,0,0,876279,41,0.7560975609756098,1,0.8396975751390666,labrus_mixtus,fLabMix1,fLabMix.pri
77,Cunner,610,fish,GCA_020745685.1,0,378764,38,1,1,0.4249081783527525,3,0,0,0,0,0,3,0,0,0,0,0,2,220856,60,1,2,NA,tautogolabrus_adspersus,fTauAds1,fTauAds1.pri
78,Rough_bullseye,656,fish,GCF_042242105.1,0,1499362,123,1,1,0.0617136343995586,3,0,0,0,0,0,3,0,0,0,0,0,0,3269840,84,0.6190476190476191,1,0.1344847823022938,pempheris_klunzingeri,fPemKlu1,fPemKlu1.hap1
79,Needlefish,595,fish,GCA_014839995.1,0,1430098,112,0.5625,1,0.0512830498399791,3,0,0,0,0,0,3,0,0,0,0,0,2,939374,157,0.7083333333333334,4,NA,xenentodon_cancila,fXenCan1,fXenCan1.pri
80,Denticle_herring,475,fish,GCF_900700375.1,0,1460583,20,1,1,0.0576398901411796,3,0,0,0,0,0,3,0,0,0,0,0,0,2074061,26,0.8846153846153846,1,0.0967786083197474,denticeps_clupeoides,fDenClu1,fDenClu1.pri
81,European_sprat,477,fish,GCA_963457725.1,0,1390988,23,1,1,0.0436349363700697,3,0,0,0,0,0,3,0,0,0,0,0,0,209170,22,0.5909090909090909,1,0.5545466355241774,sprattus_sprattus,fSprSpr1,fSprSpr1.pri
82,Sardine,478,fish,GCF_963854185.1,0,349345,54,0.9814814814814816,1,0.0088494743537118,3,0,0,0,0,0,3,0,0,0,0,0,0,331254,29,0.9655172413793104,1,0.0099219893940089,sardina_pilchardus,fSarPil1,fSarPil1.pri
83,American_shad,476,fish,GCF_018492685.1,0,450543,47,0.9787234042553192,1,0.5989765856408238,3,0,0,0,0,0,3,0,0,0,0,0,0,1254347,11,0.6363636363636364,1,0.039515826246762,alosa_sapidissima,fAloSap1,fAloSap1.pri
84,Osbecks_grenadier_anchovy,479,fish,GCA_048544225.1,0,382548,82,1,1,0.0097802303887146,3,0,0,0,0,0,3,0,0,0,0,0,0,59500,19,1,1,0.0017616933953551,coilia_mystus,fColCha1,fColCha1.hap2
85,Warty_frogfish,651,fish,GCA_013358685.1,0,10469583,20,0.65,1,0.407239133108553,3,0,0,0,0,0,3,0,0,0,0,0,0,68598,15,0.7333333333333333,1,0.0612699870132422,antennarius_maculatus,fAntMac1,fAntMac1.pri
86,Spotted_scat,586,fish,GCF_020382885.2,0,306390,66,1,1,0.0133388762875057,3,0,0,0,0,0,3,0,0,0,0,0,2,373908,120,0.8888888888888888,3,NA,scatophagus_argus,fScaArg1,fScaArg1.pri
87,Greater_argentine,509,fish,GCA_951799395.1,0,28513,18,1,1,0.2081316836380889,3,0,0,0,0,0,3,0,0,0,0,0,0,76420,22,1,1,0.5898880741026631,argentina_silus,fArgSil1,fArgSil1.pri
88,Pencil_smelt,510,fish,GCA_963989245.1,0,1993003,33,1,1,0.0259269909781816,3,0,0,0,0,0,3,0,0,0,0,0,0,1530562,27,1,1,0.020382465296542,nansenia_antarctica,fNanAnt1,fNanAnt1.pri
89,John_dory,535,fish,GCA_960531495.1,0,1184154,35,1,1,0.0348701881643948,3,0,0,0,0,0,3,0,0,0,0,0,0,156735,19,0.6842105263157895,1,0.0047658810172041,zeus_faber,fZeuFab8,fZeuFab8.pri
90,Orbiculate_cardinalfish,660,fish,GCF_902148855.1,0,585126,124,1,1,0.0104778978735972,3,0,0,0,0,0,3,0,0,0,0,0,0,241300,19,0.631578947368421,1,0.4468262007181069,sphaeramia_orbicularis,fSphaOr1,fSphaOr1.pri
91,Thicklip_grey_mullet,590,fish,GCA_963514085.1,0,1154558,106,0.981132075471698,1,0.0469987101547691,3,0,0,0,0,0,3,0,0,0,0,0,2,755151,171,0.92,2,NA,chelon_labrosus,fCheLab1,fCheLab1.pri
92,Prehistoric_monster_fish,548,fish,GCF_902500255.1,0,359779,15,1,1,0.0039054216234482,3,0,0,0,0,0,3,0,0,0,0,0,0,851701,16,0.9375,1,0.0092452630701416,thalassophryne_amazonica,fThaAma1,fThaAma1.pri
93,Spotted_gar,466,fish,GCF_040954835.1,0,1393300,101,0.5841584158415841,1,0.0211853785703078,3,0,0,0,0,0,3,0,0,0,0,0,0,16759636,171,0.7134502923976608,1,0.7943995699531635,lepisosteus_oculatus,fLepOcu1,fLepOcu1.hap2
94,Pinecone_soldierfish,546,fish,GCF_902150065.1,0,760598,120,0.9833333333333332,1,0.020867797572942,3,0,0,0,0,0,3,0,0,0,0,0,2,2313634,208,0.7241379310344828,2,NA,myripristis_murdjan,fMyrMur1,fMyrMur1.pri
95,Blunt_snouted_clingfish,661,fish,GCF_900634775.1,0,11231245,18,0.5,1,0.3943785549829833,3,0,0,0,0,0,3,0,0,0,0,0,0,1517502,3,1,1,0.037716529252754,gouania_willdenowi,fGouWil1,fGouWil2.2.pri
96,Northern_cavefish,534,fish,GCA_046255685.1,0,436228,59,0.9491525423728814,1,0.0118099980458712,3,0,0,0,0,0,3,0,0,0,0,0,0,1161683,22,0.5909090909090909,1,0.0367397775852575,amblyopsis_spelaea,fAmbSpe1,fAmpSpe.hap1
97,Large_eye_snaggletooth,520,fish,GCA_949987555.1,0,1764808,32,1,1,0.9248296346604116,3,0,0,0,0,0,3,0,0,0,0,0,0,123686,21,0.6666666666666666,1,0.247545281697188,borostomias_antarcticus,fBorAnt1,fBorAnt1.pri
98,Rainbow_smelt,516,fish,GCA_038355195.1,0,31456,14,1,1,0.8295577415016219,3,0,0,0,0,0,3,0,0,0,0,0,0,168150,19,1,1,0.0121792781045263,osmerus_mordax,fOsmMor3,fOsmMor3.pri
99,European_smelt,518,fish,GCF_963692335.1,0,29655,11,1,1,0.5697187427956659,3,0,0,0,0,0,3,0,0,0,0,0,0,155488,12,1,1,0.0109851594232142,osmerus_eperlanus,fOsmEpe2,fOsmEpe2.pri
100,Siamese_fighting_fish,564,fish,GCF_900634795.4,0,311417,118,1,1,0.8689454078714232,3,0,0,0,0,0,3,0,0,0,0,0,0,157201,13,0.9230769230769232,1,0.1251778716871273,betta_splendens,fBetSpl5,fBetSpl5.4.pri
101,Climbing_perch,563,fish,GCF_900324465.2,0,395345,164,1,1,0.0181080517702154,3,0,0,0,0,0,3,0,0,0,0,0,2,2896956,91,0.5147058823529411,2,NA,anabas_testudineus,fAnaTes1,fAnaTes1.pri
102,European_conger,472,fish,GCF_963514075.1,0,3442614,146,0.9383561643835616,1,0.0383140403904743,3,0,0,0,0,0,3,0,0,0,0,0,0,928702,18,1,1,0.0221593263827479,conger_conger,fConCon1,fConCon1.pri
103,European_eel,471,fish,GCF_013347855.1,0,604615,137,0.6131386861313869,1,0.0078885717693289,3,0,0,0,0,0,3,0,0,0,0,0,2,1421679,112,0.6666666666666666,3,NA,anguilla_anguilla,fAngAng1,fAngAng1.pri
104,Silver_spinyfin,604,fish,GCA_048569125.1,0,970556,71,0.6197183098591549,1,0.0388654023612451,3,0,0,0,0,0,3,0,0,0,0,0,0,227364,26,1,1,0.0059327496973464,diretmus_argenteus,fDirArg1,fDirArg1.hap1
105,Yellowfin_tuna,556,fish,GCF_914725855.1,0,1321246,143,0.993006993006993,1,0.0432733704255617,3,0,0,0,0,0,3,0,0,0,0,0,2,3581581,179,0.5137614678899083,4,NA,thunnus_albacares,fThuAlb1,fThuAlb1.pri
106,Atlantic_mackerel,559,fish,GCF_963691925.1,0,311568,101,1,1,0.0108269418799308,3,0,0,0,0,0,3,0,0,0,0,0,0,2485734,148,0.972972972972973,1,0.0848809284413084,scomber_scombrus,fScoSco1,fScoSco1.pri
107,Northern_bluefin_tuna,555,fish,GCF_963924715.1,0,652658,165,0.987878787878788,1,0.4259299503430435,3,0,0,0,0,0,3,0,0,0,0,0,2,3808768,274,0.6346153846153846,4,NA,thunnus_thynnus,fThuThy2,fThuThy2.pri
